episode,reward,avg10,epsilon,states,transitions
438,-250.0,-250.0,0.0557,1371,212100
439,-250.0,-250.0,0.0554,1371,212600
440,-250.0,-250.0,0.0551,1371,213100
441,-250.0,-250.0,0.0548,1371,213600
442,-250.0,-250.0,0.0545,1371,214100
443,-250.0,-250.0,0.0543,1371,214600
444,-250.0,-250.0,0.054,1371,215100
445,-250.0,-250.0,0.0537,1371,215600
446,-250.0,-250.0,0.0535,1371,216100
447,-250.0,-250.0,0.0532,1371,216600
448,-250.0,-250.0,0.0529,1371,217100
449,-250.0,-250.0,0.0527,1371,217600
450,-250.0,-250.0,0.0524,1371,218100
451,-250.0,-250.0,0.0521,1371,218600
452,-250.0,-250.0,0.0519,1371,219100
453,-1916.2,-416.6,0.0516,1461,219600
454,-12571.5,-1648.8,0.0514,1475,220100
455,-5538.6,-2177.6,0.0511,1493,220316
456,306.9,-2121.9,0.0509,1534,220816
457,242.5,-2072.7,0.0506,1559,221316
458,-145.0,-2062.2,0.0503,1563,221816
459,-250.0,-2062.2,0.0501,1563,222316
460,-212.2,-2058.4,0.05,1563,222816
461,-219.4,-2055.3,0.05,1564,223316
462,-236.5,-2054.0,0.05,1565,223816
463,-245.8,-1887.0,0.05,1566,224316
464,-152.3,-645.0,0.05,1576,224816
465,-104.5,-101.6,0.05,1578,225316
466,-234.7,-155.8,0.05,1579,225816
467,-155.8,-195.6,0.05,1580,226316
468,86.3,-172.5,0.05,1581,226816
469,-174.7,-165.0,0.05,1581,227316
470,478.5,-95.9,0.05,1583,227816
471,302.9,-43.7,0.05,1584,228316
472,-222.6,-42.3,0.05,1584,228816
473,-124.2,-30.1,0.05,1584,229316
474,-33.1,-18.2,0.05,1584,229816
475,-721.0,-79.8,0.05,1584,230316
476,-188.6,-75.2,0.05,1584,230816
477,-212.2,-80.9,0.05,1584,231316
478,50.6,-84.4,0.05,1584,231816
479,-99.4,-76.9,0.05,1584,232316
480,-212.8,-146.0,0.05,1584,232816
481,-169.0,-169.0,0.1194,1584,233316
482,-316.0,-242.5,0.1188,1584,233816
483,-600.0,-361.7,0.1182,1584,234316
484,-594.0,-419.7,0.1176,1586,234816
485,-592.0,-454.2,0.117,1587,235316
486,-600.0,-478.5,0.1164,1587,235816
487,-600.0,-495.9,0.1159,1587,236316
488,-600.0,-508.9,0.1153,1587,236816
489,-600.0,-519.0,0.1147,1587,237316
490,-600.0,-527.1,0.1141,1587,237816
491,-600.0,-570.2,0.1136,1587,238316
492,-600.0,-598.6,0.113,1587,238816
493,-600.0,-598.6,0.1124,1587,239316
494,-600.0,-599.2,0.1119,1587,239816
495,-600.0,-600.0,0.1113,1587,240316
496,-600.0,-600.0,0.1108,1587,240816
497,-600.0,-600.0,0.1102,1587,241316
498,-591.0,-599.1,0.1096,1588,241816
499,-587.0,-597.8,0.1091,1589,242316
500,-585.0,-596.3,0.1086,1589,242816
501,-600.0,-596.3,0.108,1589,243316
502,-597.0,-596.0,0.1075,1589,243816
503,-595.0,-595.5,0.1069,1589,244316
504,-594.0,-594.9,0.1064,1589,244816
505,-581.0,-593.0,0.1059,1589,245316
506,-5358.0,-1068.8,0.1053,1599,245816
507,-6107.0,-1619.5,0.1048,1611,246316
508,-951.0,-1655.5,0.1043,1632,246816
509,486.0,-1548.2,0.1038,1729,247316
510,-472.5,-1536.9,0.1032,1753,247816
511,-520.0,-1528.9,0.1027,1766,248316
512,-580.0,-1527.2,0.1022,1769,248816
513,-568.0,-1524.5,0.1017,1774,249316
514,-578.0,-1522.9,0.1012,1774,249816
515,-566.0,-1521.4,0.1007,1774,250316
516,-394.0,-1025.0,0.1002,1778,250816
517,-350.0,-449.3,0.0997,1787,251316
518,-579.0,-412.1,0.0992,1792,251816
519,-575.0,-518.2,0.0987,1793,252316
520,-583.0,-529.3,0.0982,1793,252816
521,-398.0,-517.1,0.0977,1798,253316
522,-545.7,-513.7,0.0972,1809,253612
523,-206.0,-477.5,0.0967,1836,254112
524,-597.0,-479.4,0.0962,1838,254612
525,-600.0,-482.8,0.0958,1838,255112
526,-599.0,-503.3,0.0953,1839,255612
527,-600.0,-528.3,0.0948,1839,256112
528,-608.0,-531.2,0.0943,1841,256612
529,-600.0,-533.7,0.0939,1841,257112
530,-600.0,-535.4,0.0934,1841,257612
531,-600.0,-555.6,0.0929,1841,258112
532,-600.0,-561.0,0.0925,1841,258612
533,-600.0,-600.4,0.092,1841,259112
534,-600.0,-600.7,0.0915,1841,259612
535,-600.0,-600.7,0.0911,1841,260112
536,-600.0,-600.8,0.0906,1841,260612
537,-600.0,-600.8,0.0902,1841,261112
538,-600.0,-600.0,0.0897,1841,261612
539,-600.0,-600.0,0.0893,1841,262112
540,-600.0,-600.0,0.0888,1841,262612
541,-600.0,-600.0,0.0884,1841,263112
542,-600.0,-600.0,0.0879,1841,263612
543,-600.0,-600.0,0.0875,1841,264112
544,-600.0,-600.0,0.0871,1841,264612
